Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,11,Morning,0,Medium,Low
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Under 18,3,Driving carelessly,Slight Injury,11,Morning,0,Medium,Low
Friday,31-50,Male,High school,Employee,2-5yr,Public (12 seats),Organization,Unknown,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Friday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,2-5yrs,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Pedestrian,Male,18-30,3,Moving Backward,Slight Injury,13,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Pedestrian,Male,Under 18,3,No distancing,Slight Injury,9,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,18-30,3,Moving Backward,Serious Injury,17,Evening,0,Medium,Low
Thursday,Under 18,Male,Illiterate,Employee,unknown,Pick up upto 10Q,Company,Unknown,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,5,3,No priority to pedestrian,Serious Injury,17,Evening,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1.0,Turnover,na,na,na,na,Changing lane to the left,Slight Injury,15,Afternoon,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Unkown,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,18-30,3,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,Unkown, Church areas,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,18-30,3,Other,Slight Injury,10,Morning,0,Medium,Low
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,2-5yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Passenger,Female,31-50,3,No distancing,Slight Injury,10,Morning,0,Medium,Low
Tuesday,Over 51,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,31-50,3,No priority to pedestrian,Slight Injury,10,Morning,0,Medium,Low
Tuesday,31-50,Male,High school,Employee,1-2yr,Other,Owner,1-2yr,Unkown,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,17,Evening,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,31-50,3,No priority to pedestrian,Slight Injury,16,Afternoon,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Below 1yr,Unkown,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Sunday,Under 18,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Over 51,3,No priority to pedestrian,Slight Injury,13,Afternoon,1,Medium,Low
Sunday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Unknown,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,13,Afternoon,1,Medium,Low
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Other,Driver or rider,Female,Over 51,3,Getting off the vehicle improperly,Slight Injury,16,Afternoon,0,Medium,Low
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Getting off,na,na,na,na,Driving carelessly,Slight Injury,16,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,20,Evening,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,1-2yr,Other,Owner,Unknown,Unkown, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,20,Evening,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,20,Evening,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Other,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,20,Evening,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1.0,Going straight,Passenger,Female,18-30,3,No distancing,Slight Injury,10,Morning,1,Medium,Low
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,No distancing,Slight Injury,10,Morning,1,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Other,Driver or rider,Male,18-30,3,Changing lane to the left,Serious Injury,0,Night,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,7,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,31-50,3,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,7,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,Over 51,3,No priority to vehicle,Slight Injury,7,Morning,0,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Male,18-30,3,Changing lane to the left,Slight Injury,7,Morning,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Unknown,na,na,na,na,No priority to vehicle,Slight Injury,20,Evening,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,20,Evening,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Turnover,Slight Injury,14,Afternoon,0,Medium,Low
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Governmental,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Going straight,Driver or rider,Male,Over 51,3,No distancing,Slight Injury,19,Evening,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Company,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,19,Evening,0,Medium,Low
Wednesday,18-30,Male,High school,Employee,2-5yr,Other,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,15,Afternoon,1,Medium,Low
Monday,Under 18,Male,Above high school,Employee,5-10yr,Other,Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,18,Evening,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No priority to vehicle,Slight Injury,18,Evening,0,Medium,Low
Monday,Unknown,Female,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Driving at high speed,Slight Injury,18,Evening,0,Medium,Low
Monday,Unknown,Female,Elementary school,Employee,5-10yr,Other,Owner,Below 1yr,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Overtaking,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Organization,1-2yr,Unkown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Going straight,Driver or rider,Male,31-50,2,Other,Slight Injury,0,Night,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the left,Slight Injury,0,Night,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,na,na,na,na,No priority to pedestrian,Slight Injury,11,Morning,0,Medium,Low
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Changing lane to the left,Serious Injury,11,Morning,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,5,Morning,1,Medium,Low
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,5,Morning,1,Medium,Low
Sunday,31-50,Male,High school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Pedestrian,Female,31-50,3,Changing lane to the left,Slight Injury,7,Morning,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Turnover,Driver or rider,Male,31-50,3,Other,Slight Injury,7,Morning,0,Medium,Low
Sunday,18-30,Male,High school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2.0,Moving Backward,na,na,na,na,No distancing,Slight Injury,7,Morning,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,7,Morning,0,Medium,Low
Tuesday,31-50,Male,High school,Employee,5-10yr,Other,Company,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Passenger,Male,5,3,No distancing,Slight Injury,7,Morning,0,Medium,Low
Tuesday,Unknown,Female,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,Changing lane to the left,Slight Injury,7,Morning,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,11,Morning,1,Medium,Low
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2.0,Moving Backward,Driver or rider,Male,5,3,No priority to pedestrian,Slight Injury,11,Morning,1,Medium,Low
Friday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,5-10yrs,No defect, Church areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,11,Morning,1,Medium,Low
Friday,Unknown,Female,Elementary school,Other,5-10yr,Automobile,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,2.0,Going straight,Driver or rider,Male,Under 18,3,Driving carelessly,Slight Injury,11,Morning,1,Medium,Low
Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving carelessly,Serious Injury,22,Night,0,Medium,Low
Tuesday,18-30,Male,High school,Owner,5-10yr,Other,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Other,na,na,na,na,No priority to pedestrian,Slight Injury,20,Evening,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,2-5yrs,Unkown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Other,Driver or rider,Male,18-30,3,Getting off the vehicle improperly,Slight Injury,7,Morning,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,7,Morning,0,Medium,Low
Tuesday,Over 51,Male,Junior high school,Other,Below 1yr,Other,Owner,5-10yrs,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Reversing,Pedestrian,Male,Under 18,3,Changing lane to the left,Slight Injury,17,Evening,0,Medium,Low
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,17,Evening,0,Medium,Low
Tuesday,18-30,Female,High school,Owner,5-10yr,Ridden horse,Owner,2-5yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,17,Evening,0,Medium,Low
Monday,Unknown,Female,Elementary school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,21,Night,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,3,No priority to pedestrian,Slight Injury,21,Night,0,Medium,Low
Friday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2.0,Moving Backward,Passenger,Female,31-50,3,No priority to vehicle,Slight Injury,3,Night,0,Medium,Low
Friday,Unknown,Female,Above high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Pedestrian,Female,Under 18,3,Driving carelessly,Slight Injury,3,Night,0,Medium,Low
Monday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Unkown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,8,Morning,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Going straight,Pedestrian,Female,18-30,3,Changing lane to the left,Slight Injury,8,Morning,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,9,Morning,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect, Hospital areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Over 51,3,Driving carelessly,Slight Injury,9,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Pedestrian,Female,Under 18,3,Driving to the left,Serious Injury,13,Afternoon,0,Medium,Low
Saturday,Under 18,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Driving to the left,Fatal injury,9,Morning,0,Medium,Low
Thursday,18-30,Male,High school,Employee,5-10yr,Taxi,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Over 51,3,No priority to pedestrian,Slight Injury,21,Night,0,Medium,Low
Sunday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3.5,Moving Backward,Passenger,Female,31-50,2,Changing lane to the left,Slight Injury,4,Night,0,Medium,Medium
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3.5,Moving Backward,Passenger,Female,Over 51,2,Changing lane to the right,Slight Injury,4,Night,0,Medium,Medium
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Passenger,Female,31-50,3,Driving carelessly,Slight Injury,4,Night,0,Medium,Medium
Sunday,18-30,Male,Elementary school,Employee,Above 10yr,Public (> 45 seats),Owner,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3.5,Turnover,Passenger,Male,Over 51,2,No distancing,Slight Injury,4,Night,0,Medium,Medium
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.5,Turnover,Pedestrian,Female,31-50,3,Getting off the vehicle improperly,Slight Injury,4,Night,0,Medium,Medium
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Pedestrian,Female,Over 51,3,Driving under the influence of drugs,Slight Injury,4,Night,0,Medium,Medium
